Lake,Watershed,Years,Sampling,Area (hec),PR mean (mgC/m2day),SMAX_PR,Study
Alastair Lake,Gitnadoix,1978,multiple,686,209,"49,064",1
Aldrich Lake,Zymoetz,2001,single,64,115.19,"2,523",7
Azuklotz Lake,Bear,2003,single,219,278.26,"20,854",7
Babine Lake,Babine,1994-1995,multiple,"46,100",140,"2,208,623",2
Banks East,Banks,2004,single,204,38.15,"2,663",4
Banks West,Banks,2004,single,160,66.57,"3,645",4
Bear Lake,Bear,"1978, 2003",multiple,"1,975",158.4,"107,057","1, 4"
Bloomfield Lake,Bloomfield,2006,single,147,12.8,644,3
Bonilla Lake,Bonilla,1979,multiple,220,115.64,"8,706","2, 5"
Bowser,Upper Nass,2008,single,"3,409",6.6,"5,610",8
Canoona Lake,Canoona,2004,single,345,72.56,"8,566",4
Club Lake,Kispiox,2002,single,39,84.52,"1,128",4
Curtis Inlet,Curtis,1979,multiple,300,103,"10,574",2
Damdochax Lake,Damdochax,2008,single,148,99,"4,862",8
Deer Lake,Deer,2004,single,323,49.37,"5,457",4
Dennis Lake,Zymoetz,2001,single,90,51.61,"1,590",7
Devon Lake,Devon,1979,multiple,174,103,"6,133",2
Ecstall Lake,Ecstall,2005,single,102,142.2,"4,964",6
End Hill Lakes,End Hill,2008,single,219,15,545,8
Elbow Lake,Atnarko,1999,single,150,59.09,"3,033",4
Elizabeth Lake,Elizabeth,2006,single,643,27,"5,941",3
Evelyn Lake,Evelyn,2001,single,59,63.58,"1,284",4
Fred Wright Lake,Kwinageese,1978,multiple,397,152.5,"20,195","2, 8"
Hartley Bay Lakes,Gabion,2005,single,93,51.39,"1,635",6
Hoy Lake,Hoy,2006,single,122,22,918,3
Ian Lake,Ian,2005,single,"1,878",49.4,"31,748",6
Johanson Lake,Sustut,1994,multiple,140,66.35,"3,179",1
Johnston Lake,Johnston,2005,single,186,211.7,"13,475",6
Keecha Lake,Keecha,2004,single,332,56.85,"6,459",4
Kenzuwash Lake,Kenzuwash,2008,single,66,7.2,170,8
Kilpatrick Lake,Scoular/Kilpatrick,2008,single,43,3.1,40,8
Kitkiata Lake,Kitkiata,2005,single,270,289,"26,703",6
Kitlope Lake,Kitlope,1978,multiple,"1,170",54,"21,621",2
Kitsumkalum Lake,Kitsumkalum,1994,multiple,"1,969",33,"22,236",1
Kitwancool Lake,Kitwancool,"1995, 2003",multiple,777,247.5,"65,810","1, 4"
Kluayaz Lake,Kluayaz,2004,single,138,5.98,283,4
Koeye Lake,Koeye,2006,single,450,90.3,"13,906",3
Kooryet Lake,Kooryet,2004,single,509,55.35,"9,641",4
Kwinageese Lake,Kwinageese,2008,single,266,218,"19,074",8
Lakelse Lake,Lakelse,"1994, 2003",multiple,"1,460",91,"45,466","1, 4"
Lonesome Lake,Atnarko,1999,single,410,64.33,"9,026",4
Long Lake,Long,1980,multiple,"2,100",70,"50,305",2
Lowe Lake,Lowe,1978,multiple,390,89.93,"12,002","2, 5"
Mcdonell Lake,Zymoetz,2001,single,223,59.84,"4,567",4
Meziadin Lake,Meziadin,"1978, 79, 2008",multiple,"3,321",144.67,"175,032","2, 8"
Mikado Low & Mid.,Mikado,2001,single,148,14.96,758,4
Mikado Upper,Mikado,2001,single,119,23.94,975,4
Moore Lake,Moore,2001,single,280,51,"4,887",4
Morice Lake,Morice,"1980, 2001",multiple,"9,754",83,"277,047","2, 4"
Morrison Lake,Morrison,1995,multiple,"1,460",108,"53,960",1
Motase Lake,Motase,2003,single,"1,403",14.21,"6,823",4
Namu Lake,Namu,2006,single,317,42.9,"4,654",3
Owekino Lake,Owekino,"1978, 2001",multiple,"9,450",95.5,"308,836","2, 4"
Price Lake,Price,2006,single,93,46.1,"1,467",3
Rainbow Lake,Atnarko,1999,single,170,77.04,"4,482",4
Scoular Lake,Scoular/Kilpatrick,2008,single,54,13.6,245,8
Sicintine Lake,Sicintine,2004,single,72,23.19,571,4
Simpson Lake,Lowe,1982,multiple,890,64,"19,492",2
Slamgeesh Lake,Slamgeesh,2001,single,41,68.82,966,4
Stephens Lake,Kispiox,2002,single,187,148.85,"9,526",4
Sustut Lake,Sustut,1994,multiple,250,75.69,"6,476","1, 5"
Swan Lake,Kispiox,"1978, 2002",multiple,"1,738",95.12,"56,574","1, 4"
Tankeeah Lower,Tankeeah,2006,single,151,33,"1,705",3
Tankeeah Upper,Tankeeah,2006,single,129,43.7,"1,929",3
